img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
22,0000024_01000_d_0000014.jpg,0000024,12,6,6,8,0.5,visdrone,image_lockbox,nms040,0.22784658670425417
32,0000026_04000_d_0000032.jpg,0000026,14,0,14,12,0.0,visdrone,image_lockbox,nms040,0.22784658670425417
36,0000055_00714_d_0000110.jpg,0000055,85,28,57,87,0.32941176470588235,visdrone,image_lockbox,nms040,0.22784658670425417
37,0000069_00001_d_0000001.jpg,0000069,34,7,27,31,0.20588235294117646,visdrone,image_lockbox,nms040,0.22784658670425417
38,0000069_00483_d_0000002.jpg,0000069,27,3,24,21,0.1111111111111111,visdrone,image_lockbox,nms040,0.22784658670425417
43,0000069_02480_d_0000007.jpg,0000069,64,16,48,37,0.25,visdrone,image_lockbox,nms040,0.22784658670425417
45,0000076_02142_d_0000009.jpg,0000076,11,2,9,3,0.18181818181818182,visdrone,image_lockbox,nms040,0.22784658670425417
46,0000081_00000_d_0000001.jpg,0000081,86,21,65,150,0.2441860465116279,visdrone,image_lockbox,nms040,0.22784658670425417
49,0000086_01084_d_0000003.jpg,0000086,146,39,107,76,0.2671232876712329,visdrone,image_lockbox,nms040,0.22784658670425417
54,0000103_01734_d_0000028.jpg,0000103,4,0,4,7,0.0,visdrone,image_lockbox,nms040,0.22784658670425417
58,0000103_03738_d_0000032.jpg,0000103,3,0,3,1,0.0,visdrone,image_lockbox,nms040,0.22784658670425417
64,0000115_01031_d_0000082.jpg,0000115,63,11,52,89,0.1746031746031746,visdrone,image_lockbox,nms040,0.22784658670425417
65,0000116_00351_d_0000083.jpg,0000116,74,17,57,86,0.22972972972972974,visdrone,image_lockbox,nms040,0.22784658670425417
70,0000117_01326_d_0000088.jpg,0000117,62,18,44,130,0.2903225806451613,visdrone,image_lockbox,nms040,0.22784658670425417
72,0000117_02708_d_0000090.jpg,0000117,100,14,86,125,0.14,visdrone,image_lockbox,nms040,0.22784658670425417
73,0000117_03096_d_0000091.jpg,0000117,24,0,24,157,0.0,visdrone,image_lockbox,nms040,0.22784658670425417
75,0000153_00001_d_0000001.jpg,0000153,55,16,39,43,0.2909090909090909,visdrone,image_lockbox,nms040,0.22784658670425417
82,0000154_00401_d_0000001.jpg,0000154,60,14,46,39,0.23333333333333334,visdrone,image_lockbox,nms040,0.22784658670425417
94,0000162_00401_d_0000001.jpg,0000162,45,8,37,52,0.17777777777777778,visdrone,image_lockbox,nms040,0.22784658670425417
97,0000163_00001_d_0000001.jpg,0000163,69,20,49,61,0.2898550724637681,visdrone,image_lockbox,nms040,0.22784658670425417
110,0000194_00000_d_0000119.jpg,0000194,54,21,33,77,0.3888888888888889,visdrone,image_lockbox,nms040,0.22784658670425417
114,0000194_00800_d_0000123.jpg,0000194,54,17,37,52,0.3148148148148148,visdrone,image_lockbox,nms040,0.22784658670425417
123,0000213_04405_d_0000244.jpg,0000213,106,28,78,95,0.2641509433962264,visdrone,image_lockbox,nms040,0.22784658670425417
134,0000215_02932_d_0000263.jpg,0000215,48,9,39,37,0.1875,visdrone,image_lockbox,nms040,0.22784658670425417
137,0000220_01242_d_0000004.jpg,0000220,37,10,27,22,0.2702702702702703,visdrone,image_lockbox,nms040,0.22784658670425417
146,0000242_01475_d_0000007.jpg,0000242,65,4,61,40,0.06153846153846154,visdrone,image_lockbox,nms040,0.22784658670425417
147,0000242_01912_d_0000008.jpg,0000242,50,14,36,29,0.28,visdrone,image_lockbox,nms040,0.22784658670425417
149,0000242_02762_d_0000010.jpg,0000242,33,4,29,26,0.12121212121212122,visdrone,image_lockbox,nms040,0.22784658670425417
151,0000242_03668_d_0000012.jpg,0000242,41,14,27,33,0.34146341463414637,visdrone,image_lockbox,nms040,0.22784658670425417
153,0000242_04600_d_0000014.jpg,0000242,29,3,26,39,0.10344827586206896,visdrone,image_lockbox,nms040,0.22784658670425417
154,0000242_05059_d_0000015.jpg,0000242,37,19,18,33,0.5135135135135135,visdrone,image_lockbox,nms040,0.22784658670425417
155,0000242_05570_d_0000016.jpg,0000242,32,5,27,33,0.15625,visdrone,image_lockbox,nms040,0.22784658670425417
156,0000242_06010_d_0000017.jpg,0000242,41,19,22,18,0.4634146341463415,visdrone,image_lockbox,nms040,0.22784658670425417
162,0000244_02000_d_0000005.jpg,0000244,129,46,83,71,0.35658914728682173,visdrone,image_lockbox,nms040,0.22784658670425417
164,0000244_03000_d_0000007.jpg,0000244,44,14,30,46,0.3181818181818182,visdrone,image_lockbox,nms040,0.22784658670425417
168,0000244_04900_d_0000011.jpg,0000244,106,16,90,78,0.1509433962264151,visdrone,image_lockbox,nms040,0.22784658670425417
170,0000244_05900_d_0000013.jpg,0000244,66,25,41,42,0.3787878787878788,visdrone,image_lockbox,nms040,0.22784658670425417
173,0000249_00235_d_0000002.jpg,0000249,85,39,46,44,0.4588235294117647,visdrone,image_lockbox,nms040,0.22784658670425417
174,0000249_00603_d_0000003.jpg,0000249,48,25,23,20,0.5208333333333334,visdrone,image_lockbox,nms040,0.22784658670425417
176,0000249_01514_d_0000005.jpg,0000249,51,7,44,47,0.13725490196078433,visdrone,image_lockbox,nms040,0.22784658670425417
183,0000253_00001_d_0000001.jpg,0000253,106,21,85,66,0.19811320754716982,visdrone,image_lockbox,nms040,0.22784658670425417
184,0000256_00715_d_0000019.jpg,0000256,90,28,62,76,0.3111111111111111,visdrone,image_lockbox,nms040,0.22784658670425417
189,0000269_00601_d_0000351.jpg,0000269,93,14,79,50,0.15053763440860216,visdrone,image_lockbox,nms040,0.22784658670425417
190,0000271_00001_d_0000374.jpg,0000271,58,13,45,61,0.22413793103448276,visdrone,image_lockbox,nms040,0.22784658670425417
195,0000271_01201_d_0000379.jpg,0000271,59,16,43,80,0.2711864406779661,visdrone,image_lockbox,nms040,0.22784658670425417
196,0000271_01401_d_0000380.jpg,0000271,55,16,39,86,0.2909090909090909,visdrone,image_lockbox,nms040,0.22784658670425417
197,0000271_01601_d_0000381.jpg,0000271,48,12,36,47,0.25,visdrone,image_lockbox,nms040,0.22784658670425417
198,0000271_02401_d_0000385.jpg,0000271,84,37,47,82,0.44047619047619047,visdrone,image_lockbox,nms040,0.22784658670425417
199,0000271_02601_d_0000386.jpg,0000271,79,20,59,97,0.25316455696202533,visdrone,image_lockbox,nms040,0.22784658670425417
203,0000271_04801_d_0000396.jpg,0000271,50,10,40,32,0.2,visdrone,image_lockbox,nms040,0.22784658670425417
207,0000271_05601_d_0000400.jpg,0000271,86,14,72,51,0.16279069767441862,visdrone,image_lockbox,nms040,0.22784658670425417
208,0000271_05801_d_0000401.jpg,0000271,104,13,91,65,0.125,visdrone,image_lockbox,nms040,0.22784658670425417
212,0000271_06601_d_0000405.jpg,0000271,105,6,99,57,0.05714285714285714,visdrone,image_lockbox,nms040,0.22784658670425417
217,0000273_05601_d_0000466.jpg,0000273,32,4,28,48,0.125,visdrone,image_lockbox,nms040,0.22784658670425417
218,0000276_00001_d_0000507.jpg,0000276,55,22,33,32,0.4,visdrone,image_lockbox,nms040,0.22784658670425417
226,0000276_02201_d_0000518.jpg,0000276,41,13,28,24,0.3170731707317073,visdrone,image_lockbox,nms040,0.22784658670425417
233,0000276_03601_d_0000525.jpg,0000276,46,11,35,75,0.2391304347826087,visdrone,image_lockbox,nms040,0.22784658670425417
234,0000276_03801_d_0000526.jpg,0000276,64,10,54,62,0.15625,visdrone,image_lockbox,nms040,0.22784658670425417
249,0000277_01601_d_0000547.jpg,0000277,78,19,59,74,0.24358974358974358,visdrone,image_lockbox,nms040,0.22784658670425417
250,0000277_01801_d_0000548.jpg,0000277,101,41,60,96,0.40594059405940597,visdrone,image_lockbox,nms040,0.22784658670425417
254,0000277_02601_d_0000552.jpg,0000277,121,37,84,79,0.30578512396694213,visdrone,image_lockbox,nms040,0.22784658670425417
263,0000280_00001_d_0000612.jpg,0000280,87,22,65,87,0.25287356321839083,visdrone,image_lockbox,nms040,0.22784658670425417
266,0000280_00601_d_0000615.jpg,0000280,74,27,47,76,0.36486486486486486,visdrone,image_lockbox,nms040,0.22784658670425417
267,0000280_00801_d_0000616.jpg,0000280,70,21,49,90,0.3,visdrone,image_lockbox,nms040,0.22784658670425417
273,0000280_02001_d_0000622.jpg,0000280,66,15,51,42,0.22727272727272727,visdrone,image_lockbox,nms040,0.22784658670425417
276,0000280_02601_d_0000625.jpg,0000280,73,13,60,53,0.1780821917808219,visdrone,image_lockbox,nms040,0.22784658670425417
278,0000280_03001_d_0000627.jpg,0000280,88,27,61,57,0.3068181818181818,visdrone,image_lockbox,nms040,0.22784658670425417
290,0000287_01001_d_0000764.jpg,0000287,71,40,31,54,0.5633802816901409,visdrone,image_lockbox,nms040,0.22784658670425417
294,0000287_01801_d_0000768.jpg,0000287,56,12,44,35,0.21428571428571427,visdrone,image_lockbox,nms040,0.22784658670425417
297,0000287_02401_d_0000771.jpg,0000287,18,2,16,7,0.1111111111111111,visdrone,image_lockbox,nms040,0.22784658670425417
298,0000287_02601_d_0000772.jpg,0000287,44,12,32,31,0.2727272727272727,visdrone,image_lockbox,nms040,0.22784658670425417
301,0000287_03401_d_0000776.jpg,0000287,56,4,52,37,0.07142857142857142,visdrone,image_lockbox,nms040,0.22784658670425417
305,0000289_00001_d_0000811.jpg,0000289,41,11,30,33,0.2682926829268293,visdrone,image_lockbox,nms040,0.22784658670425417
310,0000289_01001_d_0000816.jpg,0000289,33,5,28,23,0.15151515151515152,visdrone,image_lockbox,nms040,0.22784658670425417
318,0000289_03001_d_0000826.jpg,0000289,61,13,48,42,0.21311475409836064,visdrone,image_lockbox,nms040,0.22784658670425417
326,0000289_04601_d_0000834.jpg,0000289,93,20,73,55,0.21505376344086022,visdrone,image_lockbox,nms040,0.22784658670425417
327,0000289_04801_d_0000835.jpg,0000289,71,17,54,56,0.23943661971830985,visdrone,image_lockbox,nms040,0.22784658670425417
334,0000289_06201_d_0000842.jpg,0000289,79,21,58,60,0.26582278481012656,visdrone,image_lockbox,nms040,0.22784658670425417
335,0000289_06401_d_0000843.jpg,0000289,79,27,52,61,0.34177215189873417,visdrone,image_lockbox,nms040,0.22784658670425417
337,0000289_06801_d_0000845.jpg,0000289,98,23,75,75,0.23469387755102042,visdrone,image_lockbox,nms040,0.22784658670425417
338,0000289_07001_d_0000846.jpg,0000289,74,28,46,33,0.3783783783783784,visdrone,image_lockbox,nms040,0.22784658670425417
340,0000290_04001_d_0000867.jpg,0000290,79,10,69,35,0.12658227848101267,visdrone,image_lockbox,nms040,0.22784658670425417
344,0000291_00601_d_0000871.jpg,0000291,120,35,85,98,0.2916666666666667,visdrone,image_lockbox,nms040,0.22784658670425417
347,0000291_01401_d_0000875.jpg,0000291,154,55,99,101,0.35714285714285715,visdrone,image_lockbox,nms040,0.22784658670425417
348,0000291_01601_d_0000876.jpg,0000291,87,23,64,95,0.26436781609195403,visdrone,image_lockbox,nms040,0.22784658670425417
349,0000291_01801_d_0000877.jpg,0000291,113,32,81,133,0.2831858407079646,visdrone,image_lockbox,nms040,0.22784658670425417
350,0000291_02001_d_0000878.jpg,0000291,172,64,108,109,0.37209302325581395,visdrone,image_lockbox,nms040,0.22784658670425417
355,0000291_03601_d_0000886.jpg,0000291,112,46,66,149,0.4107142857142857,visdrone,image_lockbox,nms040,0.22784658670425417
361,0000291_05201_d_0000893.jpg,0000291,207,70,137,115,0.33816425120772947,visdrone,image_lockbox,nms040,0.22784658670425417
365,0000295_00600_d_0000024.jpg,0000295,186,76,110,101,0.40860215053763443,visdrone,image_lockbox,nms040,0.22784658670425417
366,0000295_00800_d_0000025.jpg,0000295,147,50,97,115,0.3401360544217687,visdrone,image_lockbox,nms040,0.22784658670425417
371,0000295_01800_d_0000030.jpg,0000295,306,151,155,91,0.4934640522875817,visdrone,image_lockbox,nms040,0.22784658670425417
