dataset,split,unit,contract,threshold,alpha,beta_fp,confidence,risk_delta,fp_delta,family_size,threshold_grid_size,bound_method,n_bound_mode,contract_record,unit_count,image_count,n_gt,misses,tp,fp,object_risk,precision,fp_img,z_mean,z_upper,z_upper_hoeffding,fp_upper,fp_upper_hoeffding,n_bound,risk_feasible,utility_feasible,bad_units,bad_unit_cp
uavdt,trainval_imagehash90,image,raw960,0.16875,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2703,36052,9236,0.06974583924654883,0.7960607666490019,6.635057471264368,-2.512787356321839,0.767837657619701,9.502430384441594,14.441544492920197,25.62596715101326,259.0,False,True,178,0.1548607620266474
uavdt,trainval_imagehash90,image,raw960,0.17500000000000002,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2716,36039,8930,0.07008127983486002,0.8014187551424314,6.415229885057471,-2.5034482758620693,0.7786417412742006,9.511769464901363,14.173527132821347,25.406139564806363,259.0,False,True,178,0.1548607620266474
uavdt,trainval_imagehash90,image,raw960,0.18125000000000002,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2730,36025,8651,0.07044252354534898,0.8063613573283195,6.214798850574713,-2.493390804597701,0.7906371652350432,9.52182693616573,13.922150643637622,25.205708530323605,259.0,False,True,178,0.1548607620266474
uavdt,trainval_imagehash90,image,raw960,0.1875,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2744,36011,8385,0.07080376725583795,0.8111316334804938,6.023706896551724,-2.4833333333333334,0.8021902323218679,9.531884407430098,13.68711894782978,25.014616576300618,259.0,False,True,178,0.1548607620266474
uavdt,trainval_imagehash90,image,raw960,0.19375,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2752,36003,8156,0.07101019223326023,0.815303788582169,5.859195402298851,-2.477586206896552,0.8090901657335179,9.53763153386688,13.483652397958174,24.850105082047744,259.0,False,True,178,0.1548607620266474
uavdt,trainval_imagehash90,image,raw960,0.2,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2766,35989,7943,0.07137143594374919,0.8191978512246199,5.70617816091954,-2.4675287356321842,0.8211802449243195,9.547689005131248,13.29218646987173,24.69708784066843,259.0,False,True,178,0.1548607620266474
uavdt,trainval_imagehash90,image,raw960,0.20625000000000002,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2779,35976,7734,0.07170687653206038,0.8230610844200412,5.556034482758621,-2.458189655172414,0.8321505918716285,9.557028085591018,13.105311115172068,24.546944162507515,259.0,False,True,179,0.15563600157053184
uavdt,trainval_imagehash90,image,raw960,0.21250000000000002,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2793,35962,7545,0.07206812024254936,0.8265796308639989,5.420258620689655,-2.4481321839080463,0.8438350862515396,9.567085556855385,12.937056202055874,24.411168300438547,259.0,False,True,179,0.15563600157053184
uavdt,trainval_imagehash90,image,raw960,0.21875,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2802,35953,7348,0.0723003483421494,0.83030415001963,5.278735632183908,-2.441666666666667,0.851086540766262,9.573551074096766,12.762043347233762,24.2696453119328,259.0,False,True,180,0.1564109847464587
uavdt,trainval_imagehash90,image,raw960,0.225,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2813,35942,7173,0.07258418268610502,0.833630986895512,5.1530172413793105,-2.4337643678160923,0.8605224540266869,9.58145337294734,12.599293458268761,24.1439269211282,259.0,False,True,180,0.1564109847464587
