img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,1,13,189,0.07142857142857142,uavdt,image_lockbox,raw960,0.018750000000000003
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,0,14,175,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,0,22,235,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,89,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,74,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,1,29,200,0.03333333333333333,uavdt,image_lockbox,raw960,0.018750000000000003
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,52,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,42,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,88,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,121,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,58,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,53,0.2,uavdt,image_lockbox,raw960,0.018750000000000003
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,37,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,67,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,1,10,149,0.09090909090909091,uavdt,image_lockbox,raw960,0.018750000000000003
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,132,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
81,djibridge_150m00201_5.jpg,djibridge_150m00201,17,0,17,200,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
88,lim_1020.jpg,lim,235,45,190,110,0.19148936170212766,uavdt,image_lockbox,raw960,0.018750000000000003
99,lim_1590.jpg,lim,240,48,192,108,0.2,uavdt,image_lockbox,raw960,0.018750000000000003
102,lim_1980.jpg,lim,242,43,199,101,0.17768595041322313,uavdt,image_lockbox,raw960,0.018750000000000003
103,lim_2010.jpg,lim,240,43,197,103,0.17916666666666667,uavdt,image_lockbox,raw960,0.018750000000000003
113,lim_3765.jpg,lim,207,25,182,118,0.12077294685990338,uavdt,image_lockbox,raw960,0.018750000000000003
115,lim_3915.jpg,lim,205,26,179,121,0.12682926829268293,uavdt,image_lockbox,raw960,0.018750000000000003
